User,Action,Timestamp,Resource,Status,Location
dev.patel@company.com,Failed Login,11-07-2025 00:11,Power BI,Failed,Ahmedabad
anita.mehra@company.com,Failed Login,19-07-2025 12:01,Entra ID,Failed,Hyderabad
anita.mehra@company.com,Failed Login,10-07-2025 03:48,Azure CLI,Failed,Bangalore
ravi.kumar@company.com,Group Modified,19-07-2025 02:11,Power BI,Success,Hyderabad
neha.joshi@company.com,Password Change,06-07-2025 03:47,Azure CLI,Failed,Mumbai
anita.mehra@company.com,Role Assigned,07-07-2025 18:25,Azure CLI,Success,Bangalore
ravi.kumar@company.com,Role Assigned,11-07-2025 17:28,Azure CLI,Failed,Pune
anita.mehra@company.com,Role Assigned,18-07-2025 23:39,Azure CLI,Success,Hyderabad
jane.smith@company.com,Failed Login,05-07-2025 08:25,Admin Center,Failed,Mumbai
jane.smith@company.com,Login,04-07-2025 08:36,Admin Center,Failed,Chennai
raj.sharma@company.com,Password Change,20-07-2025 06:23,MS Graph,Success,Delhi
john.doe@company.com,Failed Login,16-07-2025 23:44,Entra ID,Failed,Pune
ravi.kumar@company.com,Failed Login,06-07-2025 13:39,Azure CLI,Failed,Pune
neha.joshi@company.com,Failed Login,02-07-2025 09:35,Admin Center,Failed,Hyderabad
ravi.kumar@company.com,Login,21-07-2025 08:01,Admin Center,Success,Chennai
sana.ali@company.com,Password Change,03-07-2025 19:41,Azure Portal,Failed,Pune
john.doe@company.com,Role Assigned,03-07-2025 12:21,MS Graph,Success,Bangalore
anita.mehra@company.com,Failed Login,01-07-2025 13:28,Power BI,Failed,Mumbai
raj.sharma@company.com,Login,07-07-2025 03:49,MS Graph,Success,Chennai
john.doe@company.com,Failed Login,16-07-2025 20:59,Azure Portal,Failed,Ahmedabad
john.doe@company.com,Login,02-07-2025 23:10,Admin Center,Failed,Hyderabad
anita.mehra@company.com,Login,10-07-2025 02:10,Entra ID,Failed,Pune
anita.mehra@company.com,Login,12-07-2025 05:44,Entra ID,Success,Pune
raj.sharma@company.com,Group Modified,09-07-2025 20:36,Admin Center,Success,Ahmedabad
sana.ali@company.com,Login,18-07-2025 13:02,MS Graph,Failed,Ahmedabad
jane.smith@company.com,Failed Login,01-07-2025 21:41,MS Graph,Failed,Pune
dev.patel@company.com,Login,01-07-2025 18:22,Admin Center,Failed,Bangalore
sana.ali@company.com,Login,15-07-2025 04:51,Power BI,Failed,Mumbai
neha.joshi@company.com,Login,05-07-2025 01:15,Admin Center,Failed,Ahmedabad
sana.ali@company.com,Password Change,08-07-2025 20:45,Admin Center,Failed,Hyderabad
jane.smith@company.com,Password Change,15-07-2025 10:09,Entra ID,Success,Ahmedabad
anita.mehra@company.com,Role Assigned,03-07-2025 09:43,Entra ID,Failed,Mumbai
anita.mehra@company.com,Failed Login,07-07-2025 08:16,Azure CLI,Failed,Chennai
ravi.kumar@company.com,Failed Login,08-07-2025 07:02,Entra ID,Failed,Bangalore
